"Year","Geography","GeoCode","Value"
"2022","Quebec",24,99.5
"2022","Ontario",35,97.3
"2022","Ontario",35,97.4
"2022","Ontario",35,81.8
"2022","Manitoba",46,97.7
"2022","Manitoba",46,97.7
"2022","Manitoba",46,92.3
"2022","Saskatchewan",47,98.8
"2022","Saskatchewan",47,98.8
"2022","Saskatchewan",47,95.8
"2022","Alberta",48,95.8
"2022","Alberta",48,95.8
"2022","Alberta",48,98.7
"2022","British Columbia",59,97.1
"2022","British Columbia",59,97.1
"2022","British Columbia",59,97.9
"2022","Northwest Territories",61,95.1
"2022","Northwest Territories",61,95
"2022","Northwest Territories",61,100
"2022","Nunavut",62,95.3
"2022","Nunavut",62,95.9
"2022","Nunavut",62,54.5
