Year,Geography,GeoCode,Sex,Value
2015,Nova Scotia,12,Females,4.6
2016,Nova Scotia,12,Both sexes,13.2
2016,Nova Scotia,12,Males,20.9
2016,Nova Scotia,12,Females,5.8
2017,Nova Scotia,12,Both sexes,14.5
2017,Nova Scotia,12,Males,22.2
2017,Nova Scotia,12,Females,7.2
2018,Nova Scotia,12,Both sexes,12.8
2018,Nova Scotia,12,Males,20.9
2018,Nova Scotia,12,Females,5.1
2019,Nova Scotia,12,Both sexes,12.9
2019,Nova Scotia,12,Males,21.3
2019,Nova Scotia,12,Females,4.8
2020,Nova Scotia,12,Both sexes,11.0
2020,Nova Scotia,12,Males,18.3
2020,Nova Scotia,12,Females,4.0
2015,Nunavut,62,Both sexes,79.2
2015,Nunavut,62,Males,132.0
2015,Nunavut,62,Females,22.6
2016,Nunavut,62,Both sexes,67.2
2016,Nunavut,62,Males,93.5
2016,Nunavut,62,Females,39.1
2017,Nunavut,62,Both sexes,53.3
2017,Nunavut,62,Males,88.0
2017,Nunavut,62,Females,16.5
2018,Nunavut,62,Both sexes,62.9
2018,Nunavut,62,Males,112.3
2018,Nunavut,62,Females,10.8
2019,Nunavut,62,Both sexes,88.1
2019,Nunavut,62,Males,126.2
2019,Nunavut,62,Females,47.9
2020,Nunavut,62,Both sexes,76.6
2020,Nunavut,62,Males,110.0
2020,Nunavut,62,Females,41.7
2015,Ontario,35,Both sexes,9.8
2015,Ontario,35,Males,14.3
2015,Ontario,35,Females,5.4
2016,Ontario,35,Both sexes,9.8
2016,Ontario,35,Males,14.4
2016,Ontario,35,Females,5.3
2017,Ontario,35,Both sexes,10.5
2017,Ontario,35,Males,15.6
2017,Ontario,35,Females,5.6
2018,Ontario,35,Both sexes,10.8
2018,Ontario,35,Males,16.4
2018,Ontario,35,Females,5.3
2019,Ontario,35,Both sexes,10.5
2019,Ontario,35,Males,15.9
2019,Ontario,35,Females,5.2
2020,Ontario,35,Both sexes,8.9
2020,Ontario,35,Males,13.2
2020,Ontario,35,Females,4.7
2015,Prince Edward Island,11,Both sexes,5.4
2015,Prince Edward Island,11,Males,7.0
2015,Prince Edward Island,11,Females,4.0
2016,Prince Edward Island,11,Both sexes,6.7
2016,Prince Edward Island,11,Males,12.3
2016,Prince Edward Island,11,Females,1.3
2017,Prince Edward Island,11,Both sexes,11.3
2017,Prince Edward Island,11,Males,16.3
2017,Prince Edward Island,11,Females,6.5
2018,Prince Edward Island,11,Both sexes,4.6
2018,Prince Edward Island,11,Males,8.0
2018,Prince Edward Island,11,Females,1.3
2019,Prince Edward Island,11,Both sexes,11.4
2019,Prince Edward Island,11,Males,19.3
2019,Prince Edward Island,11,Females,3.8
2020,Prince Edward Island,11,Both sexes,3.7
2020,Prince Edward Island,11,Males,6.3
2020,Prince Edward Island,11,Females,1.2
2015,Quebec,24,Both sexes,13.9
2015,Quebec,24,Males,20.7
2015,Quebec,24,Females,7.2
2016,Quebec,24,Both sexes,9.4
2016,Quebec,24,Males,14.4
2016,Quebec,24,Females,4.4
2017,Quebec,24,Both sexes,12.8
2017,Quebec,24,Males,19.0
2017,Quebec,24,Females,6.6
2018,Quebec,24,Both sexes,13.0
2018,Quebec,24,Males,19.7
2018,Quebec,24,Females,6.4
2019,Quebec,24,Both sexes,13.3
2019,Quebec,24,Males,20.6
2019,Quebec,24,Females,6.0
2020,Quebec,24,Both sexes,10.6
2020,Quebec,24,Males,16.1
2020,Quebec,24,Females,5.2
2015,Saskatchewan,47,Both sexes,14.1
