Year,Sources of waste for disposal,Geography,GeoCode,Value
2022,Non-residential sources of waste for disposal,Ontario,,7148258.0
2022,All sources of waste for disposal,Manitoba,46,899282.0
2022,Residential sources of waste for disposal,Manitoba,,314970.0
2022,Non-residential sources of waste for disposal,Manitoba,,584312.0
2022,All sources of waste for disposal,Saskatchewan,47,859521.0
2022,Residential sources of waste for disposal,Saskatchewan,,408146.0
2022,Non-residential sources of waste for disposal,Saskatchewan,,451376.0
2022,All sources of waste for disposal,Alberta,48,3967775.0
2022,Residential sources of waste for disposal,Alberta,,1270939.0
2022,Non-residential sources of waste for disposal,Alberta,,2696837.0
2022,All sources of waste for disposal,British Columbia,59,2995891.0
2022,Residential sources of waste for disposal,British Columbia,,1131045.0
2022,Non-residential sources of waste for disposal,British Columbia,,1864847.0
2022,All sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,93025.0
2022,Residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,37870.0
2022,Non-residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,55154.0
2024,Residential sources of waste for disposal,Canada,,11075756.0
2024,Non-residential sources of waste for disposal,Canada,,16428117.0
2024,All sources of waste for disposal,Newfoundland and Labrador,10,365653.0
2024,Residential sources of waste for disposal,Newfoundland and Labrador,,162447.0
2024,Non-residential sources of waste for disposal,Newfoundland and Labrador,,203206.0
2024,All sources of waste for disposal,Prince Edward Island,11,60397.0
2024,Residential sources of waste for disposal,Prince Edward Island,,21112.0
2024,Non-residential sources of waste for disposal,Prince Edward Island,,39285.0
2024,All sources of waste for disposal,Nova Scotia,12,438320.0
2024,Residential sources of waste for disposal,Nova Scotia,,180138.0
2024,Non-residential sources of waste for disposal,Nova Scotia,,258182.0
2024,All sources of waste for disposal,New Brunswick,13,499490.0
2024,Residential sources of waste for disposal,New Brunswick,,238408.0
2024,Non-residential sources of waste for disposal,New Brunswick,,261082.0
2024,All sources of waste for disposal,Quebec,24,5742389.0
2024,Residential sources of waste for disposal,Quebec,,3174799.0
2024,Non-residential sources of waste for disposal,Quebec,,2567590.0
2024,All sources of waste for disposal,Ontario,35,11417222.0
2024,Residential sources of waste for disposal,Ontario,,4018044.0
2024,Non-residential sources of waste for disposal,Ontario,,7399178.0
2024,All sources of waste for disposal,Manitoba,46,925185.0
2024,Residential sources of waste for disposal,Manitoba,,307475.0
2024,Non-residential sources of waste for disposal,Manitoba,,617710.0
2024,All sources of waste for disposal,Saskatchewan,47,855744.0
2024,Residential sources of waste for disposal,Saskatchewan,,399238.0
2024,Non-residential sources of waste for disposal,Saskatchewan,,456505.0
2024,All sources of waste for disposal,Alberta,48,4121917.0
2024,Residential sources of waste for disposal,Alberta,,1364198.0
2024,Non-residential sources of waste for disposal,Alberta,,2757720.0
2024,All sources of waste for disposal,British Columbia,59,2985550.0
2024,Residential sources of waste for disposal,British Columbia,,1173007.0
2024,Non-residential sources of waste for disposal,British Columbia,,1812543.0
2024,All sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,92006.0
2024,Residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,36891.0
2024,Non-residential sources of waste for disposal,"Yukon, Northwest Territories and Nunavut",,55116.0
