Value,en,fr,Disaggregation combinations using this value,Number of indicators
1.12177485994813,1.12177485994813,1.12177485994813,1,1
1.12359552367771,1.12359552367771,1.12359552367771,2,1
1.12378627664025,1.12378627664025,1.12378627664025,1,1
1.125,1.125,1.125,1,1
1.1251,1.1251,1.1251,1,1
1.126,1.126,1.126,1,1
1.12606624891939,1.12606624891939,1.12606624891939,1,1
1.1288,1.1288,1.1288,1,1
1.12914790105838,1.12914790105838,1.12914790105838,1,1
1.1293,1.1293,1.1293,1,1
11.3,11.3,11.3,20,1
1.1319,1.1319,1.1319,1,1
1.1321,1.1321,1.1321,1,1
1.13385077439925,1.13385077439925,1.13385077439925,1,1
1.136,1.136,1.136,1,1
1.13603130058076,1.13603130058076,1.13603130058076,1,1
1.13636364252114,1.13636364252114,1.13636364252114,2,1
1.13675213675214,1.13675213675214,1.13675213675214,1,1
1.137,1.137,1.137,1,1
1.13810433678271,1.13810433678271,1.13810433678271,1,1
1.1382,1.1382,1.1382,1,1
1.13999998569489,1.13999998569489,1.13999998569489,1,1
1.14,1.14,1.14,2,1
1.14066140693035,1.14066140693035,1.14066140693035,1,1
1.1409,1.1409,1.1409,1,1
1.1415,1.1415,1.1415,1,1
1.142,1.142,1.142,1,1
1.14433599571112,1.14433599571112,1.14433599571112,1,1
1.1451,1.1451,1.1451,1,1
114512655.37,114512655.37,114512655.37,1,1
1.14687396205219,1.14687396205219,1.14687396205219,1,1
1.14786857548566,1.14786857548566,1.14786857548566,1,1
1.14788732394366,1.14788732394366,1.14788732394366,1,1
1.1479,1.1479,1.1479,1,1
1.1488,1.1488,1.1488,1,1
114974478.69,114974478.69,114974478.69,1,1
11.4,11.4,11.4,25,1
11.5,11.5,11.5,28,1
1.1501,1.1501,1.1501,1,1
1.1512,1.1512,1.1512,1,1
115149911.52,115149911.52,115149911.52,1,1
1.15151515151515,1.15151515151515,1.15151515151515,2,1
1.1524,1.1524,1.1524,1,1
1.1528,1.1528,1.1528,1,1
1.154,1.154,1.154,1,1
1.15484909173479,1.15484909173479,1.15484909173479,1,1
115635418.46,115635418.46,115635418.46,1,1
1.1569,1.1569,1.1569,1,1
115706251.35,115706251.35,115706251.35,1,1
1.1593,1.1593,1.1593,1,1
1.1599999666214,1.1599999666214,1.1599999666214,1,1
1.16,1.16,1.16,3,1
116043858.66,116043858.66,116043858.66,1,1
1.16122586829361,1.16122586829361,1.16122586829361,1,1
1.16279067833273,1.16279067833273,1.16279067833273,3,1
1.16294541197563,1.16294541197563,1.16294541197563,1,1
1.16346153846154,1.16346153846154,1.16346153846154,1,1
1.164,1.164,1.164,1,1
1.1644,1.1644,1.1644,1,1
1.1647,1.1647,1.1647,1,1
116505789.34,116505789.34,116505789.34,1,1
116515224.09,116515224.09,116515224.09,1,1
1.166,1.166,1.166,1,1
116606803.53,116606803.53,116606803.53,1,1
1.16666666666667,1.16666666666667,1.16666666666667,1,1
1.167,1.167,1.167,1,1
1.1679,1.1679,1.1679,1,1
1.168,1.168,1.168,1,1
1.1685,1.1685,1.1685,1,1
1.16944755629932,1.16944755629932,1.16944755629932,1,1
1.1695,1.1695,1.1695,1,1
116963376.52,116963376.52,116963376.52,1,1
1.16997655046194,1.16997655046194,1.16997655046194,1,1
1.16999995708466,1.16999995708466,1.16999995708466,1,1
11.6,11.6,11.6,17,1
1.17,1.17,1.17,1,1
1.1708,1.1708,1.1708,1,1
1.17139456989498,1.17139456989498,1.17139456989498,1,1
1.1721,1.1721,1.1721,1,1
117218719.6,117218719.6,117218719.6,1,1
117308407.26,117308407.26,117308407.26,1,1
1.1732,1.1732,1.1732,1,1
117334916.16,117334916.16,117334916.16,1,1
1.17355371900826,1.17355371900826,1.17355371900826,1,1
1.17405742289421,1.17405742289421,1.17405742289421,1,1
117526847.33,117526847.33,117526847.33,1,1
117571231.54,117571231.54,117571231.54,1,1
1.17605633802817,1.17605633802817,1.17605633802817,1,1
1.17647055523618,1.17647055523618,1.17647055523618,1,1
117677062.04,117677062.04,117677062.04,1,1
1.17699115044248,1.17699115044248,1.17699115044248,2,1
1.1771,1.1771,1.1771,1,1
1.1772,1.1772,1.1772,1,1
117796607.36,117796607.36,117796607.36,1,1
1.1783,1.1783,1.1783,1,1
117878439.39,117878439.39,117878439.39,1,1
1.1798,1.1798,1.1798,1,1
11.7,11.7,11.7,20,1
11.8,11.8,11.8,18,1
1.1803,1.1803,1.1803,1,1
118096881.8,118096881.8,118096881.8,1,1
1.1813,1.1813,1.1813,1,1
1.18181818181818,1.18181818181818,1.18181818181818,1,1
1.1819,1.1819,1.1819,1,1
1.1827,1.1827,1.1827,1,1
1.18353718641201,1.18353718641201,1.18353718641201,1,1
1.1838,1.1838,1.1838,1,1
1.1849,1.1849,1.1849,1,1
1.1856,1.1856,1.1856,1,1
1.18796992481203,1.18796992481203,1.18796992481203,3,1
118911996.88,118911996.88,118911996.88,1,1
118929883.32,118929883.32,118929883.32,1,1
11.9,11.9,11.9,14,1
119026571.09,119026571.09,119026571.09,1,1
1.19047619047619,1.19047619047619,1.19047619047619,7,1
1.19047622764462,1.19047622764462,1.19047622764462,1,1
1.19118259329544,1.19118259329544,1.19118259329544,1,1
1.19444444444444,1.19444444444444,1.19444444444444,2,1
12.0,12.0,12.0,16,1
1.20192307692308,1.20192307692308,1.20192307692308,2,1
1.2021,1.2021,1.2021,1,1
12.1,12.1,12.1,18,1
1.21052631578947,1.21052631578947,1.21052631578947,1,1
1.21262454773814,1.21262454773814,1.21262454773814,1,1
1.21875,1.21875,1.21875,2,1
12.2,12.2,12.2,27,1
1.22087228520994,1.22087228520994,1.22087228520994,1,1
1.22413793103448,1.22413793103448,1.22413793103448,1,1
1.22556390977444,1.22556390977444,1.22556390977444,1,1
1.2256,1.2256,1.2256,1,1
1.22826086956522,1.22826086956522,1.22826086956522,1,1
12.3,12.3,12.3,17,1
1.232,1.232,1.232,1,1
1.23529411764706,1.23529411764706,1.23529411764706,10,1
1.23542636130421,1.23542636130421,1.23542636130421,1,1
1.23913043478261,1.23913043478261,1.23913043478261,1,1
12.4,12.4,12.4,16,1
1.24038461538462,1.24038461538462,1.24038461538462,2,1
1.2485,1.2485,1.2485,1,1
1.24999998137355,1.24999998137355,1.24999998137355,1,1
1.25,1.25,1.25,1,1
1.25301204819277,1.25301204819277,1.25301204819277,2,1
1.25563909774436,1.25563909774436,1.25563909774436,2,1
12.5,12.5,12.5,22,1
12.6,12.6,12.6,14,1
1.26041666666667,1.26041666666667,1.26041666666667,2,1
1.26086956521739,1.26086956521739,1.26086956521739,1,1
1.26305566306284,1.26305566306284,1.26305566306284,1,1
1.26356589147287,1.26356589147287,1.26356589147287,1,1
1.26582278481013,1.26582278481013,1.26582278481013,1,1
12.7,12.7,12.7,18,1
1.2716,1.2716,1.2716,1,1
1.27272727272727,1.27272727272727,1.27272727272727,3,1
1.27806136178939,1.27806136178939,1.27806136178939,1,1
1.28,1.28,1.28,2,1
1.28123661472404,1.28123661472404,1.28123661472404,1,1
1.28277087502386,1.28277087502386,1.28277087502386,1,1
1.28409090909091,1.28409090909091,1.28409090909091,1,1
1.28625381964094,1.28625381964094,1.28625381964094,1,1
1.28798237666548,1.28798237666548,1.28798237666548,1,1
1.28999996185303,1.28999996185303,1.28999996185303,1,1
12.8,12.8,12.8,13,1
12.9,12.9,12.9,13,1
1.29203539823009,1.29203539823009,1.29203539823009,1,1
1.2924,1.2924,1.2924,1,1
1.29310344827586,1.29310344827586,1.29310344827586,1,1
1.29457364341085,1.29457364341085,1.29457364341085,1,1
1.29577464788732,1.29577464788732,1.29577464788732,1,1
13.0,13.0,13.0,13,1
1.30120481927711,1.30120481927711,1.30120481927711,1,1
1.30578512396694,1.30578512396694,1.30578512396694,1,1
1.30769230769231,1.30769230769231,1.30769230769231,15,1
1.30999994277954,1.30999994277954,1.30999994277954,1,1
13.1,13.1,13.1,19,1
1.31034482758621,1.31034482758621,1.31034482758621,1,1
1.31056621335261,1.31056621335261,1.31056621335261,1,1
1.3114,1.3114,1.3114,1,1
1.31521739130435,1.31521739130435,1.31521739130435,1,1
1.31578947368421,1.31578947368421,1.31578947368421,3,1
1.31578949019519,1.31578949019519,1.31578949019519,1,1
131590432.23,131590432.23,131590432.23,1,1
1.31623931623932,1.31623931623932,1.31623931623932,1,1
13.2,13.2,13.2,8,1
1.32000005245209,1.32000005245209,1.32000005245209,2,1
1.32004076107509,1.32004076107509,1.32004076107509,1,1
1.3204,1.3204,1.3204,1,1
1.32126262458731,1.32126262458731,1.32126262458731,1,1
1.3247,1.3247,1.3247,1,1
1.32558139534884,1.32558139534884,1.32558139534884,1,1
1.32608695652174,1.32608695652174,1.32608695652174,1,1
1.3261,1.3261,1.3261,1,1
1.32692307692308,1.32692307692308,1.32692307692308,1,1
1.33,1.33,1.33,2,1
1.33002025676523,1.33002025676523,1.33002025676523,1,1
1.333,1.333,1.333,1,1
1.33333333333333,1.33333333333333,1.33333333333333,3,2
13.3,13.3,13.3,12,1
13.4,13.4,13.4,12,1
1.34375,1.34375,1.34375,1,1
1.34375497222709,1.34375497222709,1.34375497222709,1,1
1.34710743801653,1.34710743801653,1.34710743801653,2,1
13.5,13.5,13.5,17,1
1.35042735042735,1.35042735042735,1.35042735042735,2,1
1.35185185185185,1.35185185185185,1.35185185185185,1,1
1.35211267605634,1.35211267605634,1.35211267605634,1,1
135629589.83,135629589.83,135629589.83,1,1
13.6,13.6,13.6,20,1
1.36100268146693,1.36100268146693,1.36100268146693,1,1
136230737.19,136230737.19,136230737.19,1,1
1.36283185840708,1.36283185840708,1.36283185840708,2,1
1.3652,1.3652,1.3652,1,1
1.36538461538462,1.36538461538462,1.36538461538462,1,1
1.3656,1.3656,1.3656,1,1
1.36756401969512,1.36756401969512,1.36756401969512,1,1
1.368,1.368,1.368,2,1
1.36879127164433,1.36879127164433,1.36879127164433,1,1
1.3695652173913,1.3695652173913,1.3695652173913,1,1
13.7,13.7,13.7,7,1
1.3703,1.3703,1.3703,1,1
1.37176476882011,1.37176476882011,1.37176476882011,1,1
1.37452567098064,1.37452567098064,1.37452567098064,1,1
137485055.51,137485055.51,137485055.51,1,1
