Year,Géographie,Level of government,Type de patrimoine,Value
2016,Saskatchewan,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5.63386728897426e-05
2016,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,7.81685490272901e-05
2016,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.000103906973707
2016,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",9.53274988137684e-06
2016,Alberta,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",7.17339428573607e-05
2016,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,6.7911714770798e-06
2016,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,6.89406801461131e-05
2016,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",9.58995729793692e-05
2016,Colombie-Britannique,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",9.63111591294953e-05
2016,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.0010895789555607
2016,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0004929047656108
2016,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2016,Yukon,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",5.18847121695592e-05
2016,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.0002911599363927
2016,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0002239691818405
2016,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",2.23969181840579e-05
2016,Territoires du Nord-Ouest,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.0002687630182086
2016,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,0.0001622718052738
2016,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0005679513184584
2016,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2016,Nunavut,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.0004056795131845
2017,Canada,Administration publique générale canadienne consolidée,Préservation de la diversité biologique et protection de la nature,5.05674665775862e-05
2017,Canada,Administration publique générale canadienne consolidée,Services culturels,0.0001721701838236
2017,Canada,Administration publique générale canadienne consolidée,"Services de radiodiffusion, de television et d'édition
",0.0001034881810586
2017,Canada,Administration publique générale canadienne consolidée,"Loisirs, culture et religion non classés ailleurs",5.07316466638771e-05
2017,Canada,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,4.12092016590069e-05
2017,Canada,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001078115899976
2017,Canada,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",4.43833499939636e-05
2017,Canada,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",4.90624824532533e-05
2017,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1.32513265524402e-05
2017,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,9.27592858670816e-05
2017,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2017,Terre-Neuve-et-Labrador,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",3.78609330069721e-05
2017,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1.32976955093682e-05
2017,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,8.64350208108935e-05
2017,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2017,Île-du-Prince-Édouard,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",6.64884775468411e-06
2017,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2.21027504241623e-05
2017,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,9.78836090212902e-05
2017,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2017,Nouvelle-Écosse,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",9.78836090212902e-05
2017,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,2.34796594405841e-05
2017,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,8.34832335665211e-05
2017,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",0.0
2017,Nouveau-Brunswick,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",0.0
2017,Québec,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,1.68632784405515e-05
2017,Québec,Administrations publiques provinciales-territoriales et locales consolidées,Services culturels,0.0001399652110565
2017,Québec,Administrations publiques provinciales-territoriales et locales consolidées,"Services de radiodiffusion, de television et d'édition
",8.31118723141465e-06
2017,Québec,Administrations publiques provinciales-territoriales et locales consolidées,"Loisirs, culture et religion non classés ailleurs",8.238916038098e-05
2017,Ontario,Administrations publiques provinciales-territoriales et locales consolidées,Préservation de la diversité biologique et protection de la nature,6.12644891049777e-05
