Year,Géographie,Type de production d'électricité,GeoCode,Value
2019,Île-du-Prince-Édouard,Turbine marémotrice,11,0.0
2019,Île-du-Prince-Édouard,Turbine éolienne,11,99.02
2019,Québec,Turbine à hydraulique,24,93.72
2019,Québec,Autres types de production électrique,24,0.0
2019,Québec,Solaire,24,0.0
2019,Québec,Turbine éolienne,24,5.33
2019,Saskatchewan,Turbine à hydraulique,47,14.94
2019,Saskatchewan,Autres types de production électrique,47,0.49
2019,Saskatchewan,Solaire,47,0.0
2019,Saskatchewan,Turbine éolienne,47,3.14
2019,Yukon,Turbine à hydraulique,60,80.49
2019,Yukon,Autres types de production électrique,60,0.0
2019,Yukon,Solaire,60,0.0
2019,Yukon,Turbine éolienne,60,0.0
2020,Alberta,Turbine à hydraulique,48,3.23
2020,Alberta,Autres types de production électrique,48,0.05
2020,Alberta,Solaire,48,0.03
2020,Alberta,Turbine éolienne,48,7.01
2020,Colombie-Britannique,Turbine à hydraulique,59,87.94
2020,Colombie-Britannique,Autres types de production électrique,59,0.0
2020,Colombie-Britannique,Solaire,59,0.0
2020,Colombie-Britannique,Turbine marémotrice,59,0.0
2020,Colombie-Britannique,Turbine éolienne,59,4.15
2020,Canada,Turbine à hydraulique,,60.2
2020,Canada,Autres types de production électrique,,0.02
2020,Canada,Solaire,,0.4
2020,Canada,Turbine marémotrice,,0.0
2020,Canada,Turbine éolienne,,5.71
2020,Manitoba,Turbine à hydraulique,46,97.13
2020,Manitoba,Autres types de production électrique,46,0.0
2020,Manitoba,Solaire,46,0.0
2020,Manitoba,Turbine éolienne,46,2.57
2020,Nouveau-Brunswick,Turbine à hydraulique,13,22.62
2020,Nouveau-Brunswick,Autres types de production électrique,13,0.0
2020,Nouveau-Brunswick,Solaire,13,0.0
2020,Nouveau-Brunswick,Turbine marémotrice,13,0.0
2020,Nouveau-Brunswick,Turbine éolienne,13,7.31
2020,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,95.79
2020,Terre-Neuve-et-Labrador,Autres types de production électrique,10,0.0
2020,Terre-Neuve-et-Labrador,Solaire,10,0.0
2020,Terre-Neuve-et-Labrador,Turbine marémotrice,10,0.0
2020,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.45
2020,Territoires du Nord-Ouest,Turbine à hydraulique,61,37.0
2020,Territoires du Nord-Ouest,Solaire,61,0.16
2020,Territoires du Nord-Ouest,Turbine éolienne,61,2.81
2020,Nouvelle-Écosse,Turbine à hydraulique,12,8.3
2020,Nouvelle-Écosse,Autres types de production électrique,12,0.0
