Year,Géographie,GeoCode,Type de matières récupérées,Sources des matières préparées en vue du recyclage,Value
2020,Nouvelle-Écosse,12,Électroménagers,Toutes les sources des matières récupérées,1087.0
2018,Nouvelle-Écosse,12,Électroménagers,Sources des matières résidentielles récupérées,
2020,Nouvelle-Écosse,12,Électroménagers,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,12,Électroménagers,Sources des matières non résidentielles récupérées,
2020,Nouvelle-Écosse,12,Électroménagers,Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,12,Matériel électronique,Toutes les sources des matières récupérées,3169.0
2020,Nouvelle-Écosse,12,Matériel électronique,Toutes les sources des matières récupérées,2580.0
2018,Nouvelle-Écosse,12,Matériel électronique,Sources des matières résidentielles récupérées,
2020,Nouvelle-Écosse,12,Matériel électronique,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,12,Matériel électronique,Sources des matières non résidentielles récupérées,
2020,Nouvelle-Écosse,12,Matériel électronique,Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,12,Matières plastiques,Toutes les sources des matières récupérées,15021.0
2020,Nouvelle-Écosse,12,Matières plastiques,Toutes les sources des matières récupérées,13598.0
2018,Nouvelle-Écosse,12,Matières plastiques,Sources des matières résidentielles récupérées,10725.0
2020,Nouvelle-Écosse,12,Matières plastiques,Sources des matières résidentielles récupérées,10056.0
2018,Nouvelle-Écosse,12,Matières plastiques,Sources des matières non résidentielles récupérées,4296.0
2020,Nouvelle-Écosse,12,Matières plastiques,Sources des matières non résidentielles récupérées,3543.0
2018,Nouvelle-Écosse,12,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,1054.0
2020,Nouvelle-Écosse,12,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,3197.0
2018,Nouvelle-Écosse,12,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,972.0
2020,Nouvelle-Écosse,12,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,3136.0
2018,Nouvelle-Écosse,12,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,82.0
2020,Nouvelle-Écosse,12,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,61.0
2018,Nouvelle-Écosse,12,Textiles,Toutes les sources des matières récupérées,
2020,Nouvelle-Écosse,12,Textiles,Toutes les sources des matières récupérées,
2018,Nouvelle-Écosse,12,Textiles,Sources des matières résidentielles récupérées,
2020,Nouvelle-Écosse,12,Textiles,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,12,Textiles,Sources des matières non résidentielles récupérées,
2020,Nouvelle-Écosse,12,Textiles,Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,12,Pneus,Toutes les sources des matières récupérées,14272.0
2020,Nouvelle-Écosse,12,Pneus,Toutes les sources des matières récupérées,14777.0
2018,Nouvelle-Écosse,12,Pneus,Sources des matières résidentielles récupérées,
2020,Nouvelle-Écosse,12,Pneus,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,12,Pneus,Sources des matières non résidentielles récupérées,
2020,Nouvelle-Écosse,12,Pneus,Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,12,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,49594.0
2020,Nouvelle-Écosse,12,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,46209.0
2018,Nouvelle-Écosse,12,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,5256.0
2020,Nouvelle-Écosse,12,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,12,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,44339.0
2020,Nouvelle-Écosse,12,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,
2018,Nouvelle-Écosse,12,Matières organiques,Toutes les sources des matières récupérées,148348.0
2020,Nouvelle-Écosse,12,Matières organiques,Toutes les sources des matières récupérées,139247.0
2018,Nouvelle-Écosse,12,Matières organiques,Sources des matières résidentielles récupérées,97195.0
2020,Nouvelle-Écosse,12,Matières organiques,Sources des matières résidentielles récupérées,87453.0
2018,Nouvelle-Écosse,12,Matières organiques,Sources des matières non résidentielles récupérées,51153.0
2020,Nouvelle-Écosse,12,Matières organiques,Sources des matières non résidentielles récupérées,51795.0
2018,Nouvelle-Écosse,12,Autres matières,Toutes les sources des matières récupérées,
2020,Nouvelle-Écosse,12,Autres matières,Toutes les sources des matières récupérées,
2018,Nouvelle-Écosse,12,Autres matières,Sources des matières résidentielles récupérées,
2020,Nouvelle-Écosse,12,Autres matières,Sources des matières résidentielles récupérées,
2018,Nouvelle-Écosse,12,Autres matières,Sources des matières non résidentielles récupérées,
2020,Nouvelle-Écosse,12,Autres matières,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,13,Toutes les matières,Toutes les sources des matières récupérées,163740.0
2020,Nouveau-Brunswick,13,Toutes les matières,Toutes les sources des matières récupérées,166179.0
2018,Nouveau-Brunswick,13,Toutes les matières,Sources des matières résidentielles récupérées,
2020,Nouveau-Brunswick,13,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,13,Toutes les matières,Sources des matières non résidentielles récupérées,
2020,Nouveau-Brunswick,13,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,13,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,28120.0
2020,Nouveau-Brunswick,13,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,35483.0
2018,Nouveau-Brunswick,13,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,16464.0
2020,Nouveau-Brunswick,13,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,18119.0
2018,Nouveau-Brunswick,13,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,11656.0
2020,Nouveau-Brunswick,13,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,17364.0
2018,Nouveau-Brunswick,13,Verre,Toutes les sources des matières récupérées,4404.0
2020,Nouveau-Brunswick,13,Verre,Toutes les sources des matières récupérées,
2018,Nouveau-Brunswick,13,Verre,Sources des matières résidentielles récupérées,2220.0
2020,Nouveau-Brunswick,13,Verre,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,13,Verre,Sources des matières non résidentielles récupérées,2184.0
2020,Nouveau-Brunswick,13,Verre,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,13,Métaux ferreux,Toutes les sources des matières récupérées,1519.0
2020,Nouveau-Brunswick,13,Métaux ferreux,Toutes les sources des matières récupérées,1687.0
2018,Nouveau-Brunswick,13,Métaux ferreux,Sources des matières résidentielles récupérées,1101.0
2020,Nouveau-Brunswick,13,Métaux ferreux,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,13,Métaux ferreux,Sources des matières non résidentielles récupérées,418.0
2020,Nouveau-Brunswick,13,Métaux ferreux,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,13,Cuivre et aluminium,Toutes les sources des matières récupérées,2159.0
2020,Nouveau-Brunswick,13,Cuivre et aluminium,Toutes les sources des matières récupérées,
2018,Nouveau-Brunswick,13,Cuivre et aluminium,Sources des matières résidentielles récupérées,2011.0
2020,Nouveau-Brunswick,13,Cuivre et aluminium,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,13,Cuivre et aluminium,Sources des matières non résidentielles récupérées,148.0
2020,Nouveau-Brunswick,13,Cuivre et aluminium,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,13,Métaux mélangés,Toutes les sources des matières récupérées,618.0
2020,Nouveau-Brunswick,13,Métaux mélangés,Toutes les sources des matières récupérées,933.0
2018,Nouveau-Brunswick,13,Métaux mélangés,Sources des matières résidentielles récupérées,
2020,Nouveau-Brunswick,13,Métaux mélangés,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,13,Métaux mélangés,Sources des matières non résidentielles récupérées,
2020,Nouveau-Brunswick,13,Métaux mélangés,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,13,Électroménagers,Toutes les sources des matières récupérées,134.0
2020,Nouveau-Brunswick,13,Électroménagers,Toutes les sources des matières récupérées,
2018,Nouveau-Brunswick,13,Électroménagers,Sources des matières résidentielles récupérées,
2020,Nouveau-Brunswick,13,Électroménagers,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,13,Électroménagers,Sources des matières non résidentielles récupérées,
2020,Nouveau-Brunswick,13,Électroménagers,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,13,Matériel électronique,Toutes les sources des matières récupérées,861.0
2020,Nouveau-Brunswick,13,Matériel électronique,Toutes les sources des matières récupérées,941.0
2018,Nouveau-Brunswick,13,Matériel électronique,Sources des matières résidentielles récupérées,
2020,Nouveau-Brunswick,13,Matériel électronique,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,13,Matériel électronique,Sources des matières non résidentielles récupérées,
2020,Nouveau-Brunswick,13,Matériel électronique,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,13,Matières plastiques,Toutes les sources des matières récupérées,5477.0
2020,Nouveau-Brunswick,13,Matières plastiques,Toutes les sources des matières récupérées,5601.0
2018,Nouveau-Brunswick,13,Matières plastiques,Sources des matières résidentielles récupérées,3133.0
2020,Nouveau-Brunswick,13,Matières plastiques,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,13,Matières plastiques,Sources des matières non résidentielles récupérées,2344.0
2020,Nouveau-Brunswick,13,Matières plastiques,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,13,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,473.0
2020,Nouveau-Brunswick,13,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,469.0
2018,Nouveau-Brunswick,13,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,
2020,Nouveau-Brunswick,13,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,13,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,
2020,Nouveau-Brunswick,13,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,13,Textiles,Toutes les sources des matières récupérées,0.0
2020,Nouveau-Brunswick,13,Textiles,Toutes les sources des matières récupérées,0.0
2018,Nouveau-Brunswick,13,Textiles,Sources des matières résidentielles récupérées,0.0
2020,Nouveau-Brunswick,13,Textiles,Sources des matières résidentielles récupérées,0.0
2018,Nouveau-Brunswick,13,Textiles,Sources des matières non résidentielles récupérées,0.0
2020,Nouveau-Brunswick,13,Textiles,Sources des matières non résidentielles récupérées,0.0
2018,Nouveau-Brunswick,13,Pneus,Toutes les sources des matières récupérées,10845.0
2020,Nouveau-Brunswick,13,Pneus,Toutes les sources des matières récupérées,11856.0
2018,Nouveau-Brunswick,13,Pneus,Sources des matières résidentielles récupérées,
2020,Nouveau-Brunswick,13,Pneus,Sources des matières résidentielles récupérées,
2018,Nouveau-Brunswick,13,Pneus,Sources des matières non résidentielles récupérées,
2020,Nouveau-Brunswick,13,Pneus,Sources des matières non résidentielles récupérées,
2018,Nouveau-Brunswick,13,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,10816.0
2020,Nouveau-Brunswick,13,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,10784.0
2018,Nouveau-Brunswick,13,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,640.0
2020,Nouveau-Brunswick,13,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,3035.0
2018,Nouveau-Brunswick,13,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,10176.0
2020,Nouveau-Brunswick,13,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,7749.0
2018,Nouveau-Brunswick,13,Matières organiques,Toutes les sources des matières récupérées,94261.0
2020,Nouveau-Brunswick,13,Matières organiques,Toutes les sources des matières récupérées,84962.0
2018,Nouveau-Brunswick,13,Matières organiques,Sources des matières résidentielles récupérées,
2020,Nouveau-Brunswick,13,Matières organiques,Sources des matières résidentielles récupérées,26798.0
2018,Nouveau-Brunswick,13,Matières organiques,Sources des matières non résidentielles récupérées,
2020,Nouveau-Brunswick,13,Matières organiques,Sources des matières non résidentielles récupérées,58164.0
2018,Nouveau-Brunswick,13,Autres matières,Toutes les sources des matières récupérées,4053.0
2020,Nouveau-Brunswick,13,Autres matières,Toutes les sources des matières récupérées,6688.0
2018,Nouveau-Brunswick,13,Autres matières,Sources des matières résidentielles récupérées,3689.0
2020,Nouveau-Brunswick,13,Autres matières,Sources des matières résidentielles récupérées,6688.0
2018,Nouveau-Brunswick,13,Autres matières,Sources des matières non résidentielles récupérées,364.0
2020,Nouveau-Brunswick,13,Autres matières,Sources des matières non résidentielles récupérées,0.0
2018,Québec,24,Toutes les matières,Toutes les sources des matières récupérées,2511744.0
2020,Québec,24,Toutes les matières,Toutes les sources des matières récupérées,2615931.0
2018,Québec,24,Toutes les matières,Sources des matières résidentielles récupérées,
2020,Québec,24,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Québec,24,Toutes les matières,Sources des matières non résidentielles récupérées,
2020,Québec,24,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Québec,24,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,1100000.0
2020,Québec,24,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,1050476.0
2018,Québec,24,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,527000.0
2020,Québec,24,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,510802.0
2018,Québec,24,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,573000.0
2020,Québec,24,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,539674.0
2018,Québec,24,Verre,Toutes les sources des matières récupérées,58067.0
2020,Québec,24,Verre,Toutes les sources des matières récupérées,83892.0
2018,Québec,24,Verre,Sources des matières résidentielles récupérées,45000.0
2020,Québec,24,Verre,Sources des matières résidentielles récupérées,53903.0
2018,Québec,24,Verre,Sources des matières non résidentielles récupérées,13067.0
2020,Québec,24,Verre,Sources des matières non résidentielles récupérées,29989.0
2018,Québec,24,Métaux ferreux,Toutes les sources des matières récupérées,316200.0
2020,Québec,24,Métaux ferreux,Toutes les sources des matières récupérées,386119.0
2018,Québec,24,Métaux ferreux,Sources des matières résidentielles récupérées,39000.0
2020,Québec,24,Métaux ferreux,Sources des matières résidentielles récupérées,36439.0
2018,Québec,24,Métaux ferreux,Sources des matières non résidentielles récupérées,277200.0
2020,Québec,24,Métaux ferreux,Sources des matières non résidentielles récupérées,349680.0
2018,Québec,24,Cuivre et aluminium,Toutes les sources des matières récupérées,52800.0
2020,Québec,24,Cuivre et aluminium,Toutes les sources des matières récupérées,2232.0
2018,Québec,24,Cuivre et aluminium,Sources des matières résidentielles récupérées,
2020,Québec,24,Cuivre et aluminium,Sources des matières résidentielles récupérées,0.0
2018,Québec,24,Cuivre et aluminium,Sources des matières non résidentielles récupérées,52800.0
2020,Québec,24,Cuivre et aluminium,Sources des matières non résidentielles récupérées,2232.0
2018,Québec,24,Métaux mélangés,Toutes les sources des matières récupérées,0.0
2020,Québec,24,Métaux mélangés,Toutes les sources des matières récupérées,1991.0
2018,Québec,24,Métaux mélangés,Sources des matières résidentielles récupérées,0.0
2020,Québec,24,Métaux mélangés,Sources des matières résidentielles récupérées,0.0
2018,Québec,24,Métaux mélangés,Sources des matières non résidentielles récupérées,0.0
2020,Québec,24,Métaux mélangés,Sources des matières non résidentielles récupérées,1991.0
2018,Québec,24,Électroménagers,Toutes les sources des matières récupérées,0.0
2020,Québec,24,Électroménagers,Toutes les sources des matières récupérées,0.0
2018,Québec,24,Électroménagers,Sources des matières résidentielles récupérées,0.0
2020,Québec,24,Électroménagers,Sources des matières résidentielles récupérées,0.0
2018,Québec,24,Électroménagers,Sources des matières non résidentielles récupérées,0.0
2020,Québec,24,Électroménagers,Sources des matières non résidentielles récupérées,0.0
2018,Québec,24,Matériel électronique,Toutes les sources des matières récupérées,21387.0
2020,Québec,24,Matériel électronique,Toutes les sources des matières récupérées,17476.0
2018,Québec,24,Matériel électronique,Sources des matières résidentielles récupérées,
2020,Québec,24,Matériel électronique,Sources des matières résidentielles récupérées,
2018,Québec,24,Matériel électronique,Sources des matières non résidentielles récupérées,
2020,Québec,24,Matériel électronique,Sources des matières non résidentielles récupérées,
2018,Québec,24,Matières plastiques,Toutes les sources des matières récupérées,83000.0
2020,Québec,24,Matières plastiques,Toutes les sources des matières récupérées,112906.0
2018,Québec,24,Matières plastiques,Sources des matières résidentielles récupérées,59000.0
2020,Québec,24,Matières plastiques,Sources des matières résidentielles récupérées,58000.0
2018,Québec,24,Matières plastiques,Sources des matières non résidentielles récupérées,24000.0
2020,Québec,24,Matières plastiques,Sources des matières non résidentielles récupérées,54906.0
2018,Québec,24,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,0.0
2020,Québec,24,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,0.0
2018,Québec,24,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,0.0
2020,Québec,24,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,0.0
2018,Québec,24,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,0.0
2020,Québec,24,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,0.0
2018,Québec,24,Textiles,Toutes les sources des matières récupérées,55440.0
2020,Québec,24,Textiles,Toutes les sources des matières récupérées,58129.0
2018,Québec,24,Textiles,Sources des matières résidentielles récupérées,55440.0
2020,Québec,24,Textiles,Sources des matières résidentielles récupérées,58129.0
2018,Québec,24,Textiles,Sources des matières non résidentielles récupérées,0.0
2020,Québec,24,Textiles,Sources des matières non résidentielles récupérées,0.0
2018,Québec,24,Pneus,Toutes les sources des matières récupérées,91850.0
2020,Québec,24,Pneus,Toutes les sources des matières récupérées,93976.0
2018,Québec,24,Pneus,Sources des matières résidentielles récupérées,
2020,Québec,24,Pneus,Sources des matières résidentielles récupérées,
2018,Québec,24,Pneus,Sources des matières non résidentielles récupérées,
2020,Québec,24,Pneus,Sources des matières non résidentielles récupérées,
2018,Québec,24,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,295000.0
2020,Québec,24,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,268000.0
2018,Québec,24,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,0.0
2020,Québec,24,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,0.0
2018,Québec,24,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,295000.0
2020,Québec,24,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,268000.0
2018,Québec,24,Matières organiques,Toutes les sources des matières récupérées,438000.0
2020,Québec,24,Matières organiques,Toutes les sources des matières récupérées,540734.0
2018,Québec,24,Matières organiques,Sources des matières résidentielles récupérées,387000.0
2020,Québec,24,Matières organiques,Sources des matières résidentielles récupérées,497467.0
2018,Québec,24,Matières organiques,Sources des matières non résidentielles récupérées,51000.0
2020,Québec,24,Matières organiques,Sources des matières non résidentielles récupérées,43267.0
2018,Québec,24,Autres matières,Toutes les sources des matières récupérées,0.0
2020,Québec,24,Autres matières,Toutes les sources des matières récupérées,0.0
2018,Québec,24,Autres matières,Sources des matières résidentielles récupérées,0.0
2020,Québec,24,Autres matières,Sources des matières résidentielles récupérées,0.0
2018,Québec,24,Autres matières,Sources des matières non résidentielles récupérées,0.0
2020,Québec,24,Autres matières,Sources des matières non résidentielles récupérées,0.0
2018,Ontario,35,Toutes les matières,Toutes les sources des matières récupérées,3341233.0
2020,Ontario,35,Toutes les matières,Toutes les sources des matières récupérées,3465409.0
2018,Ontario,35,Toutes les matières,Sources des matières résidentielles récupérées,
2020,Ontario,35,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Ontario,35,Toutes les matières,Sources des matières non résidentielles récupérées,
2020,Ontario,35,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Ontario,35,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,1318720.0
2020,Ontario,35,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,1338739.0
2018,Ontario,35,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,581930.0
2020,Ontario,35,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,636830.0
2018,Ontario,35,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,736790.0
2020,Ontario,35,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,701909.0
2018,Ontario,35,Verre,Toutes les sources des matières récupérées,114145.0
2020,Ontario,35,Verre,Toutes les sources des matières récupérées,128373.0
2018,Ontario,35,Verre,Sources des matières résidentielles récupérées,83926.0
2020,Ontario,35,Verre,Sources des matières résidentielles récupérées,87709.0
2018,Ontario,35,Verre,Sources des matières non résidentielles récupérées,30219.0
2020,Ontario,35,Verre,Sources des matières non résidentielles récupérées,40664.0
2018,Ontario,35,Métaux ferreux,Toutes les sources des matières récupérées,115659.0
2020,Ontario,35,Métaux ferreux,Toutes les sources des matières récupérées,120510.0
2018,Ontario,35,Métaux ferreux,Sources des matières résidentielles récupérées,38548.0
2020,Ontario,35,Métaux ferreux,Sources des matières résidentielles récupérées,56453.0
2018,Ontario,35,Métaux ferreux,Sources des matières non résidentielles récupérées,77111.0
2020,Ontario,35,Métaux ferreux,Sources des matières non résidentielles récupérées,64057.0
2018,Ontario,35,Cuivre et aluminium,Toutes les sources des matières récupérées,22092.0
2020,Ontario,35,Cuivre et aluminium,Toutes les sources des matières récupérées,21698.0
2018,Ontario,35,Cuivre et aluminium,Sources des matières résidentielles récupérées,11849.0
2020,Ontario,35,Cuivre et aluminium,Sources des matières résidentielles récupérées,15707.0
2018,Ontario,35,Cuivre et aluminium,Sources des matières non résidentielles récupérées,10243.0
2020,Ontario,35,Cuivre et aluminium,Sources des matières non résidentielles récupérées,5991.0
2018,Ontario,35,Métaux mélangés,Toutes les sources des matières récupérées,39393.0
2020,Ontario,35,Métaux mélangés,Toutes les sources des matières récupérées,38638.0
2018,Ontario,35,Métaux mélangés,Sources des matières résidentielles récupérées,14728.0
2020,Ontario,35,Métaux mélangés,Sources des matières résidentielles récupérées,21852.0
2018,Ontario,35,Métaux mélangés,Sources des matières non résidentielles récupérées,24665.0
2020,Ontario,35,Métaux mélangés,Sources des matières non résidentielles récupérées,16787.0
2018,Ontario,35,Électroménagers,Toutes les sources des matières récupérées,11410.0
2020,Ontario,35,Électroménagers,Toutes les sources des matières récupérées,12400.0
2018,Ontario,35,Électroménagers,Sources des matières résidentielles récupérées,10056.0
2020,Ontario,35,Électroménagers,Sources des matières résidentielles récupérées,9081.0
2018,Ontario,35,Électroménagers,Sources des matières non résidentielles récupérées,1354.0
2020,Ontario,35,Électroménagers,Sources des matières non résidentielles récupérées,3319.0
2018,Ontario,35,Matériel électronique,Toutes les sources des matières récupérées,45967.0
2020,Ontario,35,Matériel électronique,Toutes les sources des matières récupérées,45896.0
2018,Ontario,35,Matériel électronique,Sources des matières résidentielles récupérées,
2020,Ontario,35,Matériel électronique,Sources des matières résidentielles récupérées,
2018,Ontario,35,Matériel électronique,Sources des matières non résidentielles récupérées,
2020,Ontario,35,Matériel électronique,Sources des matières non résidentielles récupérées,
2018,Ontario,35,Matières plastiques,Toutes les sources des matières récupérées,125619.0
2020,Ontario,35,Matières plastiques,Toutes les sources des matières récupérées,119921.0
2018,Ontario,35,Matières plastiques,Sources des matières résidentielles récupérées,98365.0
2020,Ontario,35,Matières plastiques,Sources des matières résidentielles récupérées,90232.0
2018,Ontario,35,Matières plastiques,Sources des matières non résidentielles récupérées,27254.0
2020,Ontario,35,Matières plastiques,Sources des matières non résidentielles récupérées,29689.0
2018,Ontario,35,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,8993.0
2020,Ontario,35,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,7342.0
2018,Ontario,35,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,7346.0
2020,Ontario,35,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,5822.0
2018,Ontario,35,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,1647.0
2020,Ontario,35,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,1520.0
2018,Ontario,35,Textiles,Toutes les sources des matières récupérées,1213.0
2020,Ontario,35,Textiles,Toutes les sources des matières récupérées,2642.0
2018,Ontario,35,Textiles,Sources des matières résidentielles récupérées,1206.0
2020,Ontario,35,Textiles,Sources des matières résidentielles récupérées,2614.0
2018,Ontario,35,Textiles,Sources des matières non résidentielles récupérées,7.0
2020,Ontario,35,Textiles,Sources des matières non résidentielles récupérées,28.0
2018,Ontario,35,Pneus,Toutes les sources des matières récupérées,210704.0
2020,Ontario,35,Pneus,Toutes les sources des matières récupérées,121976.0
2018,Ontario,35,Pneus,Sources des matières résidentielles récupérées,
2020,Ontario,35,Pneus,Sources des matières résidentielles récupérées,
2018,Ontario,35,Pneus,Sources des matières non résidentielles récupérées,
2020,Ontario,35,Pneus,Sources des matières non résidentielles récupérées,
2018,Ontario,35,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,156312.0
2020,Ontario,35,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,164885.0
2018,Ontario,35,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,53873.0
2020,Ontario,35,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,88647.0
2018,Ontario,35,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,102439.0
2020,Ontario,35,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,76238.0
2018,Ontario,35,Matières organiques,Toutes les sources des matières récupérées,1145169.0
2020,Ontario,35,Matières organiques,Toutes les sources des matières récupérées,1309779.0
2018,Ontario,35,Matières organiques,Sources des matières résidentielles récupérées,1053104.0
2020,Ontario,35,Matières organiques,Sources des matières résidentielles récupérées,1141405.0
2018,Ontario,35,Matières organiques,Sources des matières non résidentielles récupérées,92065.0
2020,Ontario,35,Matières organiques,Sources des matières non résidentielles récupérées,168374.0
2018,Ontario,35,Autres matières,Toutes les sources des matières récupérées,25837.0
2020,Ontario,35,Autres matières,Toutes les sources des matières récupérées,32609.0
2018,Ontario,35,Autres matières,Sources des matières résidentielles récupérées,18823.0
2020,Ontario,35,Autres matières,Sources des matières résidentielles récupérées,22257.0
2018,Ontario,35,Autres matières,Sources des matières non résidentielles récupérées,7014.0
2020,Ontario,35,Autres matières,Sources des matières non résidentielles récupérées,10352.0
2018,Manitoba,46,Toutes les matières,Toutes les sources des matières récupérées,221697.0
2020,Manitoba,46,Toutes les matières,Toutes les sources des matières récupérées,221005.0
2018,Manitoba,46,Toutes les matières,Sources des matières résidentielles récupérées,
2020,Manitoba,46,Toutes les matières,Sources des matières résidentielles récupérées,
2018,Manitoba,46,Toutes les matières,Sources des matières non résidentielles récupérées,
2020,Manitoba,46,Toutes les matières,Sources des matières non résidentielles récupérées,
2018,Manitoba,46,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,87664.0
