Year,Personnes à faible revenu,Géographie,GeoCode,Value
2016,"Men+, 65 years and over",Provinces des Prairies,,9.0
2016,Femmes+,Provinces des Prairies,,9.4
2016,"Women+, under 18 years",Provinces des Prairies,,9.7
2016,"Women+, 18 to 64 years",Provinces des Prairies,,9.2
2016,"Women+, 65 years and over",Provinces des Prairies,,9.9
2016,Toutes les personnes,Manitoba,46,13.3
2016,Personnes de moins de 18 ans,Manitoba,,17.3
2016,Personnes de 18 à 64 ans,Manitoba,,11.8
2016,Personnes de 65 ans et plus,Manitoba,,14.1
2016,Hommes+,Manitoba,,13.0
2016,"Men+, under 18 years",Manitoba,,18.6
2016,"Men+, 18 to 64 years",Manitoba,,11.3
2016,"Men+, 65 years and over",Manitoba,,11.5
2016,Femmes+,Manitoba,,13.7
2016,"Women+, under 18 years",Manitoba,,15.8
2016,"Women+, 18 to 64 years",Manitoba,,12.3
2016,"Women+, 65 years and over",Manitoba,,16.3
2016,Toutes les personnes,Saskatchewan,47,11.4
2016,Personnes de moins de 18 ans,Saskatchewan,,12.9
2016,Personnes de 18 à 64 ans,Saskatchewan,,9.8
2016,Personnes de 65 ans et plus,Saskatchewan,,15.8
2016,Hommes+,Saskatchewan,,10.4
2016,"Men+, under 18 years",Saskatchewan,,12.0
2016,"Men+, 18 to 64 years",Saskatchewan,,8.9
2016,"Men+, 65 years and over",Saskatchewan,,14.5
2016,Femmes+,Saskatchewan,,12.5
2016,"Women+, under 18 years",Saskatchewan,,13.8
2016,"Women+, 18 to 64 years",Saskatchewan,,10.8
2016,"Women+, 65 years and over",Saskatchewan,,17.0
2016,Toutes les personnes,Alberta,48,7.4
2016,Personnes de moins de 18 ans,Alberta,,7.2
2016,Personnes de 18 à 64 ans,Alberta,,7.9
2016,Personnes de 65 ans et plus,Alberta,,5.6
2016,Hommes+,Alberta,,7.5
2016,"Men+, under 18 years",Alberta,,7.4
2016,"Men+, 18 to 64 years",Alberta,,7.8
2016,"Men+, 65 years and over",Alberta,,6.2
2016,Femmes+,Alberta,,7.4
2016,"Women+, under 18 years",Alberta,,7.0
2016,"Women+, 18 to 64 years",Alberta,,8.0
2016,"Women+, 65 years and over",Alberta,,5.1
2016,Toutes les personnes,Colombie-Britannique,59,13.4
2016,Personnes de moins de 18 ans,Colombie-Britannique,,13.0
2016,Personnes de 18 à 64 ans,Colombie-Britannique,,13.5
2016,Personnes de 65 ans et plus,Colombie-Britannique,,13.2
2016,Hommes+,Colombie-Britannique,,13.3
2016,"Men+, under 18 years",Colombie-Britannique,,12.2
2016,"Men+, 18 to 64 years",Colombie-Britannique,,14.5
2016,"Men+, 65 years and over",Colombie-Britannique,,9.9
2016,Femmes+,Colombie-Britannique,,13.4
2016,"Women+, under 18 years",Colombie-Britannique,,13.9
2016,"Women+, 18 to 64 years",Colombie-Britannique,,12.6
2016,"Women+, 65 years and over",Colombie-Britannique,,16.1
2016,Toutes les personnes,"Québec, Québec",,10.9
2016,Personnes de moins de 18 ans,"Québec, Québec",,7.7
2016,Personnes de 18 à 64 ans,"Québec, Québec",,9.0
2016,Personnes de 65 ans et plus,"Québec, Québec",,20.0
2016,Hommes+,"Québec, Québec",,8.6
2016,"Men+, under 18 years","Québec, Québec",,
2016,"Men+, 18 to 64 years","Québec, Québec",,8.1
2016,"Men+, 65 years and over","Québec, Québec",,13.6
2016,Femmes+,"Québec, Québec",,12.9
2016,"Women+, under 18 years","Québec, Québec",,
2016,"Women+, 18 to 64 years","Québec, Québec",,9.9
2016,"Women+, 65 years and over","Québec, Québec",,25.1
2016,Toutes les personnes,"Montréal, Québec",,14.6
2016,Personnes de moins de 18 ans,"Montréal, Québec",,15.6
2016,Personnes de 18 à 64 ans,"Montréal, Québec",,13.6
2016,Personnes de 65 ans et plus,"Montréal, Québec",,17.2
2016,Hommes+,"Montréal, Québec",,14.4
2016,"Men+, under 18 years","Montréal, Québec",,15.7
2016,"Men+, 18 to 64 years","Montréal, Québec",,13.4
2016,"Men+, 65 years and over","Montréal, Québec",,17.1
2016,Femmes+,"Montréal, Québec",,14.7
2016,"Women+, under 18 years","Montréal, Québec",,15.4
2016,"Women+, 18 to 64 years","Montréal, Québec",,13.8
2016,"Women+, 65 years and over","Montréal, Québec",,17.4
2016,Toutes les personnes,"Ottawa-Gatineau, Ontario/Québec",,9.1
2016,Personnes de moins de 18 ans,"Ottawa-Gatineau, Ontario/Québec",,10.6
2016,Personnes de 18 à 64 ans,"Ottawa-Gatineau, Ontario/Québec",,9.1
2016,Personnes de 65 ans et plus,"Ottawa-Gatineau, Ontario/Québec",,7.2
2016,Hommes+,"Ottawa-Gatineau, Ontario/Québec",,8.1
2016,"Men+, under 18 years","Ottawa-Gatineau, Ontario/Québec",,9.1
2016,"Men+, 18 to 64 years","Ottawa-Gatineau, Ontario/Québec",,8.7
2016,"Men+, 65 years and over","Ottawa-Gatineau, Ontario/Québec",,
2016,Femmes+,"Ottawa-Gatineau, Ontario/Québec",,10.1
2016,"Women+, under 18 years","Ottawa-Gatineau, Ontario/Québec",,12.0
2016,"Women+, 18 to 64 years","Ottawa-Gatineau, Ontario/Québec",,9.6
2016,"Women+, 65 years and over","Ottawa-Gatineau, Ontario/Québec",,9.8
2016,Toutes les personnes,"Toronto, Ontario",,15.7
2016,Personnes de moins de 18 ans,"Toronto, Ontario",,19.2
2016,Personnes de 18 à 64 ans,"Toronto, Ontario",,14.6
2016,Personnes de 65 ans et plus,"Toronto, Ontario",,15.3
